avg_confidence,case_count,evidence_count,evidence_texts,id,needs_review,question_ids,source_cases,source_id,source_triple_ids,target_id,type,validation_status,vote_yes_ratio,weight
0.0,1,1,['河堤挡墙未能充分考虑地质条件，根基处理不到位，注浆不够饱满，石料个体较小、沉降缝、排水孔布局不合理，回填碾压不充分等原因致使挡墙整体稳定性差而导致坍塌。'],REL:canonical:6a9929e72ad3bc831e3838680994c993,False,['D2_UNSAFE_OBJECT_STATE'],['HCA-b9630e82d7'],AccidentCase:canonical:22562b0df4e81c5a4c32c16407ba2d25,[],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,hasDirectCause,valid,1.0,1
0.0,1,1,['施工单位E施工单位F对工人的安全培训不到位，仅仅限于口头上的教育，无安全培训记录，安全培训流于形式，未达到培训的目的。'],REL:canonical:76ebdb02eafd49efe31b361b608de63e,False,['M1_TRAINING'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],SafetyManagementDefect:canonical:ad2db066ffd6bc68866318b55589a84c,hasManagementCause,valid,1.0,1
0.0,1,1,['河堤挡墙未能充分考虑地质条件'],REL:canonical:57af3053718e5640bec4b369bf195145,False,['M2_PLAN'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],SafetyManagementDefect:canonical:ee873855eefbcf5eab7fca5c7b1d3638,hasManagementCause,valid,1.0,1
0.0,1,1,['施工单位G专职安全管理人员在施工现场监督检查不力'],REL:canonical:28fe924ac46ed8f66be5ec43c116b105,False,['M3_SUPERVISION'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],SafetyManagementDefect:canonical:7bc6fbe02ea8020bb70e024752a62900,hasManagementCause,valid,1.0,1
0.0,1,1,['隐患排查整改不落实，埋下事故隐患'],REL:canonical:1f33d80615cbc1cd7961aeb4dbf1438b,False,['M4_HAZARD'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],SafetyManagementDefect:canonical:1eecc6cddb6e65cd864b02d673b33cab,hasManagementCause,valid,1.0,1
0.0,1,1,['施工单位E施工单位F安全管理不到位，对安全重视不够，未及时消除综合加工厂河堤挡墙技术不达标带来的生产安全隐患。'],REL:canonical:97508132ec4a18a7cadd0e9806e24490,False,['M5_RESPONSIBILITY'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],SafetyManagementDefect:canonical:d003a61901c1bb84a097744873bb36dc,hasManagementCause,valid,1.0,1
0.0,1,1,['施工单位G置若罔闻，隐患排查整改不落实，仅是抢工程进度，导致事故发生。'],REL:canonical:0c4047e630eb85842a7aea7eef459042,False,['S1_SAFETY_PRIORITY'],['HCA-b9630e82d7'],SafetyManagementDefect:canonical:d003a61901c1bb84a097744873bb36dc,[],SafetyCultureDefect:canonical:caec86b967cea041925bfc50b7a34b92,hasCultureCause,valid,1.0,1
0.0,1,1,['施工单位E施工单位F安全管理不到位，对安全重视不够，未及时消除综合加工厂河堤挡墙技术不达标带来的生产安全隐患。'],REL:canonical:be00f5a6d0beb1c2321efd1dcb26c8b9,False,['S2_SAFETY_INVESTMENT'],['HCA-b9630e82d7'],SafetyManagementDefect:canonical:d003a61901c1bb84a097744873bb36dc,[],SafetyCultureDefect:canonical:c71c347d353c9b32636c5aab02b9ce0d,hasCultureCause,valid,1.0,1
0.0,1,1,['施工单位E施工单位F安全管理不到位，对安全重视不够，未及时消除综合加工厂河堤挡墙技术不达标带来的生产安全隐患。'],REL:canonical:3fe83196083d8c2a2ff6e2afc6bb985a,False,['S3_ACCOUNTABILITY_CULTURE'],['HCA-b9630e82d7'],SafetyManagementDefect:canonical:d003a61901c1bb84a097744873bb36dc,[],SafetyCultureDefect:canonical:b3f986e4276c4597c5878b3e3ecc6b13,hasCultureCause,valid,1.0,1
0.0,1,1,['钢筋加工区域临河侧浆砌石挡墙突然发生坍塌，其中正在进行桁架基础混凝土作业的2名作业人员A、作业人员B随同坍塌挡墙一同掉落。'],REL:canonical:296dcb880be7e88d6163f029a91023cc,False,['P1_ACCIDENT_PROCESS'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],AccidentProcess:canonical:65b8e28a708482793653ac9a4f572348,leadTo,valid,1.0,1
0.0,1,1,['落实安全生产责任制度，加强工程建设质量管理等工作，并严格按照相关标准执行。'],REL:canonical:09d07a27df0c579693b58b3fa3cea156,False,['R1_CONTROL_MEASURE'],['HCA-b9630e82d7'],UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,[],PreventiveMeasure:canonical:8c0ad0e9d1ff611930a03e2f0a264d59,controlledBy,valid,1.0,1
0.0,1,1,['钢筋加工区域临河侧浆砌石挡墙突然发生坍塌'],REL:canonical:4e08d2d3e3de7a61efdd546d2392450f,False,[],['HCA-b9630e82d7'],AccidentCase:canonical:22562b0df4e81c5a4c32c16407ba2d25,[],EngineeringObject:canonical:cb30b1d1391c1213114f0e88a0ac63dc,involvesObject,valid,0.0,1
